DateTime,PT Tower,ET Tower,PT-JPL ET,DisALEXI ET
2021-09-02,3.030846272462581,6.149913451223066,3.442,4.306
2021-09-03,1.4401364477619347,3.353619543159182,2.476,3.023
2021-09-04,0.6175747875699562,1.598938302080638,1.443,1.718
2021-09-05,2.9780845081829637,5.323406497963006,3.48,4.035
2021-09-06,3.3664788170953615,6.024720579780872,4.114,4.639
2021-09-07,3.3216197687628255,7.241456348833746,3.855,4.221
2021-09-08,2.904325295733298,4.6894912606446,3.654,3.879
2021-09-09,2.6946236788759377,2.996743811619506,3.034,3.116
2021-09-10,2.9155871142811636,3.872249957598013,3.283,3.258
2021-09-11,2.480979873687526,3.807149082713537,3.943,3.698
2021-09-12,2.401093820428079,3.8811486157732857,4.257,3.771
2021-09-13,2.6011164591015077,3.008294810147716,3.97,3.319
2021-09-14,2.477918079484256,2.6419595816443464,3.744,2.952
2021-09-15,2.262455986672061,1.2096943284310568,3.357,2.493
2021-09-16,2.8435854862882386,2.1947044737959964,3.822,2.671
2021-09-17,2.8595748141073742,1.778878547864012,3.568,2.343
2021-09-18,2.29014977106958,1.06302101686367,3.385,2.086
2021-09-19,2.5417552637082523,2.079156781549157,3.727,2.299
2021-09-20,1.6316258618581696,,2.967,1.832
2021-09-21,0.5432996637534261,,0.971,0.6
2021-09-22,1.0127801429204824,,1.597,0.988
2021-09-23,2.4593918781093174,2.5326348616747283,2.365,1.466
2021-09-24,2.6816628249917382,2.610969939260161,2.648,1.644
2021-09-25,2.241658193946622,3.321945580857437,1.86,1.157
2021-09-26,2.435068454116491,2.602063416939688,2.361,1.474
2021-09-27,2.331236010500474,2.578879869164516,2.705,1.639
2021-09-28,2.2586264456921397,,1.853,1.091
2021-09-29,2.2657557965668778,1.5959256317544548,2.099,1.203
2021-09-30,2.0514271469224616,1.5455546154505604,2.252,1.255
2021-10-01,2.285192539772587,1.5884194732348302,2.466,1.339
2021-10-02,0.8586962981838863,1.094293542490559,1.527,0.808
2021-10-03,0.5394272463800592,1.075552061522991,1.51,0.779
2021-10-04,1.5823322269186535,1.1749382044220786,1.766,0.889
2021-10-05,0.9432097697734957,1.104391271940237,1.307,0.642
2021-10-06,0.8493274072587604,0.8056454270846041,1.559,0.748
2021-10-07,0.834051003247128,,1.172,0.549
2021-10-08,1.7102372960388408,,1.568,0.718
2021-10-09,1.7233074914432618,1.766972930665469,2.648,1.185
2021-10-10,1.8244968266026433,1.9481397663693287,3.951,1.73
2021-10-11,0.40611868798799244,,2.245,0.962
2021-10-12,2.053067548419413,3.021808758546876,2.224,0.933
2021-10-13,0.5818165054472234,0.0969155209570741,1.647,0.667
2021-10-14,0.4165197139343728,,1.116,0.434
2021-10-15,0.6032382670246407,,0.965,0.36
2021-10-16,1.2661626823926613,3.2145866495587407,1.809,0.643
2021-10-17,1.4555696152267201,2.160419524389131,2.05,0.69
2021-10-18,1.406442955292594,1.8110058898939416,1.934,0.613
2021-10-19,0.854291457617903,1.5460181784649052,1.76,0.521
2021-10-20,1.4371716262612002,1.6684446706327505,1.86,0.509
